image_rel_path,temp_c,humidity_pct,wind_m_s,precip_mm,soil_moisture_pct,random_datetime
test/Apple/Apple_scab/01dc9e96b318e23a71e631d7e498877c806f7d45.jpg,29.0,32.0,2.82,0.0,8.3,2025-09-16 15:00:00
test/Apple/Apple_scab/0241e1edd3185cb5dcfa10dc3cacbdbc2cd23129.jpg,17.7,54.0,3.73,0.0,3.0,2023-06-04 02:00:00
test/Apple/Apple_scab/02bef43e33bebcddcd0b2915069e78bbdfb5751b.jpg,20.8,36.0,2.06,0.0,9.700000000000001,2024-11-15 15:00:00
test/Apple/Apple_scab/0388b3c8d6d28d408d2a281733724c46533e4b0d.jpg,23.6,48.0,2.38,0.0,2.3,2024-07-18 23:00:00
test/Apple/Apple_scab/04188f3391217520c79f3dfb43b5824ffe889b53.jpg,6.2,82.0,2.79,0.0,14.899999999999999,2023-01-14 20:00:00
test/Apple/Apple_scab/043bd3d9d0bf30d9e20061360dc83a97f6493c63.jpg,19.2,57.0,3.65,0.0,8.4,2025-05-27 07:00:00
test/Apple/Apple_scab/055a4feba7cdb4ed239e7598cd82be081ed5d52f.jpg,9.1,75.0,8.24,0.2,27.700000000000003,2024-02-16 13:00:00
test/Apple/Apple_scab/0660f58137d5ebba63d3cc1396c5a62dc2db263a.jpg,25.1,45.0,2.43,0.0,2.3,2023-09-24 09:00:00
test/Apple/Apple_scab/08e4f000eb0dba73eb69286385b229ea52a9eb1d.jpg,30.5,16.0,4.56,0.0,4.3999999999999995,2025-07-18 12:00:00
test/Apple/Apple_scab/09b38bad944901c7fbca079339940adb0a0954e2.jpg,32.5,34.0,0.0,0.0,8.1,2025-08-09 10:00:00
test/Apple/Apple_scab/09cb2ad1bdeb5c2701e3e13c965c0e31db1fd107.jpg,11.3,77.0,1.1,0.0,20.7,2023-11-24 06:00:00
test/Apple/Apple_scab/0b6f0a31713389c181ce3fa91a54468b3431f591.jpg,13.1,65.0,4.84,0.0,17.7,2025-11-18 10:00:00
test/Apple/Apple_scab/0bc90a78f27b1989419530a9e48b036d60ccc653.jpg,30.8,25.0,3.78,0.0,2.3,2023-09-22 16:00:00
test/Apple/Apple_scab/0c25ad498824ea9179b7d4e029f01306e75752c4.jpg,17.7,31.0,4.65,0.0,11.1,2023-02-28 18:00:00
test/Apple/Apple_scab/0c81c42da6f792dd75cc95fa1c3b30fad36cf64f.jpg,11.9,39.0,3.45,0.0,4.0,2023-04-27 04:00:00
test/Apple/Apple_scab/0c9b9d244a65d6464b420f1c12b0f742172bb277.jpg,6.9,100.0,5.86,0.2,15.5,2024-01-12 07:00:00
test/Apple/Apple_scab/0dd42f1c978e7941e1dd9d930b6c1e0c880ce307.jpg,21.1,46.0,3.91,0.0,2.1,2023-06-13 08:00:00
test/Apple/Apple_scab/10179accdb434b204c4d5fab9b10e51e4ef1f763.jpg,21.1,56.0,1.17,0.0,2.1999999999999997,2023-09-26 23:00:00
test/Apple/Apple_scab/1269adacb8be19db9c45f059b6b29cd9c5e54c33.jpg,28.3,22.0,5.85,0.0,2.6,2023-05-05 17:00:00
test/Apple/Apple_scab/1274d3a0cb051285179ad9d56333effae8fc9bb7.jpg,25.8,30.0,3.63,0.0,2.7,2023-11-05 16:00:00
test/Apple/Apple_scab/12a4c3d9a5eb777e04d55420e59e0e3a1431668b.jpg,19.8,37.0,1.92,0.0,2.3,2023-10-26 08:00:00
test/Apple/Apple_scab/12cf85e9dd3571b2b8e7f2981614ab2784302719.jpg,27.5,37.0,2.24,0.0,8.1,2025-09-14 19:00:00
test/Apple/Apple_scab/12ddd218e122e3b4ab20ae0e1b2ca244edf54206.jpg,24.0,36.0,3.44,0.0,1.7999999999999998,2024-06-08 04:00:00
test/Apple/Apple_scab/13ef6b161a6764e4799034e06c67ec812bcea00a.jpg,22.0,71.0,3.14,0.0,1.0,2024-08-17 00:00:00
test/Apple/Apple_scab/18130031044f966d87274ac76473e5fc4049ab40.jpg,30.2,28.0,2.98,0.0,8.3,2025-05-22 15:00:00
test/Apple/Apple_scab/18d59248c504ae88f3b2c470f60c01372c5cf8d8.jpg,22.4,44.0,1.26,0.0,2.4,2024-09-24 10:00:00
test/Apple/Apple_scab/195ff5db023ad8d31dbc87e30e76252536997af1.jpg,6.3,91.0,3.42,0.0,11.600000000000001,2024-03-09 06:00:00
test/Apple/Apple_scab/1a78723633d7442e6e3f7c02b8a79e3ed01e9b44.jpg,11.4,31.0,2.84,0.0,17.599999999999998,2025-02-28 17:00:00
test/Apple/Apple_scab/1b11231479f3924ffac6af86c6d7cb8e994af58b.jpg,31.5,36.0,6.0,0.0,2.1999999999999997,2024-07-29 15:00:00
test/Apple/Apple_scab/1b60ac154cc52468c8fcc4e72a279d0a448e638c.jpg,10.8,61.0,2.04,0.0,11.899999999999999,2023-12-03 02:00:00
test/Apple/Apple_scab/1d5111f0b9df44e3cd6db31aeeec1e88f153a0cf.jpg,29.5,33.0,3.91,0.0,8.1,2025-08-18 14:00:00
test/Apple/Apple_scab/1e963ed1b6c324bd65ccfa5193492b5803265d5e.jpg,34.2,20.0,6.01,0.0,2.3,2023-07-25 15:00:00
test/Apple/Apple_scab/1ea855fc2d63a9ad18779fd0119f734bd16a76af.jpg,15.0,67.0,0.73,0.0,25.6,2023-03-24 08:00:00
test/Apple/Apple_scab/1fac7b034f3430d96f0b60b9cb21e0ffa7f7c933.jpg,21.2,44.0,1.65,0.0,8.799999999999999,2025-10-10 18:00:00
test/Apple/Apple_scab/1fb7a85fb5df4b6daa3fef93492c1b29e44e5909.jpg,25.9,50.0,2.72,0.0,8.5,2025-09-24 12:00:00
test/Apple/Apple_scab/1fc1fd8af4f05049bc8f4bf63e04f363f890caed.jpg,7.9,95.0,6.88,0.1,21.9,2024-03-20 08:00:00
test/Apple/Apple_scab/202d4fe303d0f7f5f99fd64e79e287d590cdd118.jpg,25.7,34.0,2.6,0.0,2.3,2023-10-07 15:00:00
test/Apple/Apple_scab/20f175b467c5c66d175d049469e5295057782974.jpg,18.4,29.0,5.75,0.0,13.4,2024-03-02 13:00:00
test/Apple/Apple_scab/20ff9df9bf4765beb1cb495f65136421f76b900e.jpg,10.1,64.0,0.64,0.0,19.3,2025-03-23 11:00:00
test/Apple/Apple_scab/21a62a5a0e2f7a9888ae621fe13a0f2a1aaef935.jpg,22.5,42.0,1.84,0.0,8.4,2025-11-12 14:00:00
test/Apple/Apple_scab/22188db6639a01236f7df6ff286651e42d9085ad.jpg,19.0,57.0,2.82,0.0,8.200000000000001,2025-06-09 06:00:00
test/Apple/Apple_scab/2227ddd1441622ea0c425586b3cc5c83561d225a.jpg,27.5,27.0,3.71,0.0,2.3,2023-07-20 09:00:00
test/Apple/Apple_scab/2297a710f30b4e95fc633f96ec30eaf78949d320.jpg,7.2,99.0,3.15,0.0,10.8,2024-12-21 04:00:00
test/Apple/Apple_scab/22ec140b083fc7b54d5e7abd16dd1cee8b02f87e.jpg,20.0,61.0,2.33,0.0,2.3,2023-08-11 02:00:00
test/Apple/Apple_scab/2345cea60f3efad351372f9cf5340e8aa970f77f.jpg,9.3,79.0,3.65,0.0,12.2,2025-01-11 12:00:00
test/Apple/Apple_scab/24fb419973feba729e16e20e9e9021e7a7f2615a.jpg,12.4,58.0,0.32,0.0,18.3,2024-01-17 14:00:00
test/Apple/Apple_scab/2639b8258dddeae5decc4708339fef1d149dc596.jpg,7.2,25.0,3.48,0.0,8.4,2024-12-19 04:00:00
test/Apple/Apple_scab/273fe0165cfe430a80837c2384ed23f3fe3de5ec.jpg,21.3,27.0,3.45,0.0,3.1,2023-05-09 18:00:00
test/Apple/Apple_scab/281a46167367689fe10fd47016c95759832a1b29.jpg,22.5,39.0,2.31,0.0,2.3,2023-09-12 02:00:00
test/Apple/Apple_scab/285910626289ca8f45004063d19eecbb1897e9ec.jpg,18.9,53.0,0.96,0.0,8.799999999999999,2025-10-10 20:00:00
test/Apple/Apple_scab/2af322dd53cc2e83f92d6317611f7ce3a77fc0a9.jpg,19.0,63.0,1.07,0.0,8.5,2025-10-17 23:00:00
test/Apple/Apple_scab/2b1542d1c213925f66c85b1e86251f74627339cb.jpg,14.4,75.0,0.98,0.0,2.4,2024-05-29 06:00:00
test/Apple/Apple_scab/2b76dcf1de4511697f1c7ab722f39c24f3f1b316.jpg,,,,,,2025-07-24 02:00:00
test/Apple/Apple_scab/2b8545b20932982e199d75712e3eebd1c92ef9d7.jpg,6.3,99.0,1.72,0.0,11.899999999999999,2025-01-24 00:00:00
